Time needed to put N random strings of length 2 into map.

N       BSTMap    TreeMap    HashMap
100000    0.017    0.011    0.004
200000    0.023    0.015    0.005
400000    0.034    0.032    0.013
800000    0.07    0.062    0.021
1600000    0.126    0.111    0.041
3200000    0.244    0.218    0.082
6400000    0.479    0.426    0.161
12800000    0.956    0.85    0.316
